observation_date,CPITRNSL
2012-02-01,217.686
2012-03-01,218.457
2012-04-01,218.615
2012-05-01,215.029
2012-06-01,212.225
2012-07-01,211.791
2012-08-01,217.573
2012-09-01,221.574
2012-10-01,222.913
2012-11-01,218.833
2012-12-01,217.524
2013-01-01,218.092
2013-02-01,223.274
2013-03-01,218.985
2013-04-01,214.905
2013-05-01,214.010
2013-06-01,215.380
2013-07-01,216.562
2013-08-01,217.901
2013-09-01,216.898
2013-10-01,216.682
2013-11-01,217.170
2013-12-01,218.715
2014-01-01,219.287
2014-02-01,218.525
2014-03-01,217.491
2014-04-01,218.989
2014-05-01,218.306
2014-06-01,218.653
2014-07-01,218.126
2014-08-01,217.071
2014-09-01,215.410
2014-10-01,213.730
2014-11-01,210.033
2014-12-01,204.124
2015-01-01,194.852
2015-02-01,197.087
2015-03-01,199.119
2015-04-01,198.636
2015-05-01,202.277
2015-06-01,203.860
2015-07-01,204.166
2015-08-01,202.609
2015-09-01,197.162
2015-10-01,196.445
2015-11-01,196.644
2015-12-01,194.728
2016-01-01,192.648
2016-02-01,188.784
2016-03-01,191.583
2016-04-01,194.491
2016-05-01,195.474
2016-06-01,197.236
2016-07-01,194.654
2016-08-01,194.205
2016-09-01,195.762
2016-10-01,197.151
2016-11-01,197.331
2016-12-01,199.146
2017-01-01,202.082
2017-02-01,201.566
2017-03-01,201.165
2017-04-01,200.904
2017-05-01,198.623
2017-06-01,198.062
2017-07-01,196.903
2017-08-01,199.590
2017-09-01,204.503
2017-10-01,203.282
2017-11-01,205.698
2017-12-01,206.332
2018-01-01,208.964
2018-02-01,210.466
2018-03-01,208.649
2018-04-01,209.542
2018-05-01,210.576
2018-06-01,210.830
2018-07-01,210.467
2018-08-01,211.843
2018-09-01,212.734
2018-10-01,213.820
2018-11-01,211.019
2018-12-01,208.595
2019-01-01,205.719
2019-02-01,207.495
2019-03-01,210.097
2019-04-01,213.037
2019-05-01,211.761
2019-06-01,209.250
2019-07-01,209.934
2019-08-01,209.270
2019-09-01,209.085
2019-10-01,210.250
2019-11-01,211.286
2019-12-01,213.354
2020-01-01,213.140
2020-02-01,211.402
2020-03-01,204.709
2020-04-01,192.375
2020-05-01,188.733
2020-06-01,192.554
2020-07-01,197.289
2020-08-01,199.971
2020-09-01,202.572
2020-10-01,203.230
2020-11-01,204.355
2020-12-01,208.196
2021-01-01,210.632
2021-02-01,212.904
2021-03-01,217.471
2021-04-01,220.736
2021-05-01,225.784
2021-06-01,233.169
2021-07-01,234.485
2021-08-01,234.588
2021-09-01,235.770
2021-10-01,241.059
2021-11-01,248.066
2021-12-01,253.118
2022-01-01,254.579
2022-02-01,257.835
2022-03-01,266.618
2022-04-01,264.563
2022-05-01,269.601
2022-06-01,278.932
2022-07-01,272.710
2022-08-01,265.977
2022-09-01,265.460
2022-10-01,268.123
2022-11-01,267.391
2022-12-01,262.161
2023-01-01,263.597
2023-02-01,263.822
2023-03-01,263.521
2023-04-01,265.284
2023-05-01,265.150
2023-06-01,265.787
2023-07-01,265.613
2023-08-01,270.442
2023-09-01,271.893
2023-10-01,270.239
2023-11-01,269.558
2023-12-01,269.187
2024-01-01,267.931
2024-02-01,270.904
2024-03-01,274.332
2024-04-01,274.564
2024-05-01,272.306
2024-06-01,269.014
2024-07-01,268.745
2024-08-01,268.745
2024-09-01,268.853
2024-10-01,269.476
2024-11-01,270.397
2024-12-01,273.390
